D:\Вильдар\ТЮЗ\лестница_вил.dwg,Model,26.12.2008 12:25:45,Валера,Xerox WorkCentre M118 PCL А4.pc3,A3 (297 x 420 мм),1:6.01688,
\\sgpsrv2\СПД\Конструкторы\Пан. Кронверк-СК\ЧЕРТЕЖИ ИЗДЕЛИЙ\5825-16-КЖ.И\Альбом 5\ПС(опалубка+армир).dwg,Model,28.05.2014 15:54:29,lapina,WorkCentre M118_A3.pc3,A3 (297 x 420 мм),1:50.5008,
\\sgpsrv2\СПД\Конструкторы\Пан. Кронверк-СК\ЧЕРТЕЖИ ИЗДЕЛИЙ\5825-16-КЖ.И\Альбом 5\ПС(опалубка+армир).dwg,Model,28.05.2014 15:54:52,lapina,WorkCentre M118_A3.pc3,A3 (297 x 420 мм),1:50.4752,
\\sgpsrv2\СПД\Конструкторы\Пан. Кронверк-СК\ЧЕРТЕЖИ ИЗДЕЛИЙ\5825-16-КЖ.И\Альбом 5\ПС(опалубка+армир).dwg,Model,28.05.2014 15:55:19,lapina,WorkCentre M118_A3.pc3,A3 (297 x 420 мм),1:50.5118,
\\sgpsrv2\СПД\Конструкторы\Пан. Кронверк-СК\ЧЕРТЕЖИ ИЗДЕЛИЙ\5825-16-КЖ.И\Альбом 5\ПС(опалубка+армир).dwg,Model,28.05.2014 15:55:39,lapina,WorkCentre M118_A3.pc3,A3 (297 x 420 мм),1:50.3948,
\\sgpsrv2\СПД\Конструкторы\Пан. Кронверк-СК\ЧЕРТЕЖИ ИЗДЕЛИЙ\5825-16-КЖ.И\Альбом 5\ПС(опалубка+армир).dwg,Model,28.05.2014 15:55:58,lapina,WorkCentre M118_A3.pc3,A3 (297 x 420 мм),1:50.5257,
\\sgpsrv2\СПД\Конструкторы\Пан. Кронверк-СК\ЧЕРТЕЖИ ИЗДЕЛИЙ\5825-16-КЖ.И\Альбом 5\ПС(опалубка+армир).dwg,Model,28.05.2014 15:56:18,lapina,WorkCentre M118_A3.pc3,A3 (297 x 420 мм),1:50.5215,
\\sgpsrv2\СПД\Конструкторы\Пан. Кронверк-СК\ЧЕРТЕЖИ ИЗДЕЛИЙ\5825-16-КЖ.И\Альбом 5\ПС(опалубка+армир).dwg,Model,28.05.2014 15:56:40,lapina,WorkCentre M118_A3.pc3,A3 (297 x 420 мм),1:50.5678,
\\sgpsrv2\СПД\Конструкторы\Пан. Кронверк-СК\ЧЕРТЕЖИ ИЗДЕЛИЙ\5825-16-КЖ.И\Альбом 5\ПС(опалубка+армир).dwg,Model,28.05.2014 15:57:00,lapina,WorkCentre M118_A3.pc3,A3 (297 x 420 мм),1:50.4837,
\\sgpsrv2\СПД\Конструкторы\Пан. Кронверк-СК\ЧЕРТЕЖИ ИЗДЕЛИЙ\5825-16-КЖ.И\Альбом 5\ПС(опалубка+армир).dwg,Model,28.05.2014 15:57:33,lapina,WorkCentre M118_A3.pc3,A3 (297 x 420 мм),1:50.6446,
\\sgpsrv2\СПД\Конструкторы\Пан. Кронверк-СК\ЧЕРТЕЖИ ИЗДЕЛИЙ\5825-16-КЖ.И\Альбом 5\ПС(опалубка+армир).dwg,Model,28.05.2014 15:57:53,lapina,WorkCentre M118_A3.pc3,A3 (297 x 420 мм),1:50.4045,
